Tournament,League,Region,Country,Year,DateStart,Date,OverviewPage,DateStart__precision,Date__precision
LCK 2016 Spring,LoL Champions Korea,Korea,South Korea,2016,2016-01-13,2016-04-09,LCK/2016 Season/Spring Season,1,1
LCK 2016 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2016,2016-04-13,2016-04-23,LCK/2016 Season/Spring Playoffs,1,1
LCK 2016 Spring Promotion,LoL Champions Korea,Korea,South Korea,2016,2015-09-11,2015-09-12,LCK/2016 Season/Spring Promotion,1,1
LCK 2016 Summer,LoL Champions Korea,Korea,South Korea,2016,2016-05-25,2016-08-06,LCK/2016 Season/Summer Season,1,1
LCK 2016 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2016,2016-08-08,2016-08-20,LCK/2016 Season/Summer Playoffs,1,1
LCK 2016 Summer Promotion,LoL Champions Korea,Korea,South Korea,2016,2016-04-28,2016-04-29,LCK/2016 Season/Summer Promotion,1,1
LCK 2017 Spring,LoL Champions Korea,Korea,South Korea,2017,2017-01-17,2017-04-02,LCK/2017 Season/Spring Season,1,1
LCK 2017 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2017,2017-04-07,2017-04-22,LCK/2017 Season/Spring Playoffs,1,1
LCK 2017 Spring Promotion,LoL Champions Korea,Korea,South Korea,2017,2016-08-22,2016-08-27,LCK/2017 Season/Spring Promotion,1,1
LCK 2017 Summer,LoL Champions Korea,Korea,South Korea,2017,2017-05-30,2017-08-06,LCK/2017 Season/Summer Season,1,1
LCK 2017 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2017,2017-08-12,2017-08-26,LCK/2017 Season/Summer Playoffs,1,1
LCK 2017 Summer Promotion,LoL Champions Korea,Korea,South Korea,2017,2017-04-25,2017-04-29,LCK/2017 Season/Summer Promotion,1,1
LCK 2018 Spring,LoL Champions Korea,Korea,South Korea,2018,2018-01-16,2018-03-25,LCK/2018 Season/Spring Season,1,1
LCK 2018 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2018,2018-03-31,2018-04-14,LCK/2018 Season/Spring Playoffs,1,1
LCK 2018 Spring Promotion,LoL Champions Korea,Korea,South Korea,2018,2017-09-12,2017-09-16,LCK/2018 Season/Spring Promotion,1,1
LCK 2018 Summer,LoL Champions Korea,Korea,South Korea,2018,2018-06-12,2018-08-09,LCK/2018 Season/Summer Season,1,1
LCK 2018 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2018,2018-08-12,2018-09-08,LCK/2018 Season/Summer Playoffs,1,1
LCK 2018 Summer Promotion,LoL Champions Korea,Korea,South Korea,2018,2018-04-17,2018-04-22,LCK/2018 Season/Summer Promotion,1,1
LCK 2019 Spring,LoL Champions Korea,Korea,South Korea,2019,2019-01-16,2019-03-31,LCK/2019 Season/Spring Season,1,1
LCK 2019 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2019,2019-04-03,2019-04-13,LCK/2019 Season/Spring Playoffs,1,1
LCK 2019 Spring Promotion,LoL Champions Korea,Korea,South Korea,2019,2018-09-18,2018-09-22,LCK/2019 Season/Spring Promotion,1,1
LCK 2019 Summer,LoL Champions Korea,Korea,South Korea,2019,2019-06-05,2019-08-18,LCK/2019 Season/Summer Season,1,1
LCK 2019 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2019,2019-08-21,2019-08-31,LCK/2019 Season/Summer Playoffs,1,1
LCK 2019 Summer Promotion,LoL Champions Korea,Korea,South Korea,2019,2019-04-16,2019-04-21,LCK/2019 Season/Summer Promotion,1,1
LCK 2020 Spring,LoL Champions Korea,Korea,South Korea,2020,2020-02-05,2020-04-16,LCK/2020 Season/Spring Season,1,1
LCK 2020 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2020,2020-04-18,2020-04-25,LCK/2020 Season/Spring Playoffs,1,1
LCK 2020 Spring Promotion,LoL Champions Korea,Korea,South Korea,2020,2019-09-09,2019-09-11,LCK/2020 Season/Spring Promotion,1,1
LCK 2020 Summer,LoL Champions Korea,Korea,South Korea,2020,2020-06-17,2020-08-23,LCK/2020 Season/Summer Season,1,1
LCK 2020 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2020,2020-08-26,2020-09-05,LCK/2020 Season/Summer Playoffs,1,1
LCK 2020 Summer Promotion,LoL Champions Korea,Korea,South Korea,2020,2020-04-28,2020-04-30,LCK/2020 Season/Summer Promotion,1,1
LCK 2021 Spring,LoL Champions Korea,Korea,South Korea,2021,2021-01-13,2021-03-28,LCK/2021 Season/Spring Season,1,1
LCK 2021 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2021,2021-03-31,2021-04-10,LCK/2021 Season/Spring Playoffs,1,1
LCK 2021 Summer,LoL Champions Korea,Korea,South Korea,2021,2021-06-09,2021-08-15,LCK/2021 Season/Summer Season,1,1
LCK 2021 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2021,2021-08-18,2021-08-28,LCK/2021 Season/Summer Playoffs,1,1
LCK 2022 Spring,LoL Champions Korea,Korea,South Korea,2022,2022-01-12,2022-03-20,LCK/2022 Season/Spring Season,1,1
LCK 2022 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2022,2022-03-23,2022-04-02,LCK/2022 Season/Spring Playoffs,1,1
LCK 2022 Summer,LoL Champions Korea,Korea,South Korea,2022,2022-06-15,2022-08-14,LCK/2022 Season/Summer Season,1,1
LCK 2022 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2022,2022-08-17,2022-08-28,LCK/2022 Season/Summer Playoffs,1,1
LCK 2023 Spring,LoL Champions Korea,Korea,South Korea,2023,2023-01-18,2023-03-19,LCK/2023 Season/Spring Season,1,1
LCK 2023 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2023,2023-03-22,2023-04-09,LCK/2023 Season/Spring Playoffs,1,1
LCK 2023 Summer,LoL Champions Korea,Korea,South Korea,2023,2023-06-07,2023-08-06,LCK/2023 Season/Summer Season,1,1
LCK 2023 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2023,2023-08-08,2023-08-20,LCK/2023 Season/Summer Playoffs,1,1
LCK 2024 Spring,LoL Champions Korea,Korea,South Korea,2024,2024-01-17,2024-03-24,LCK/2024 Season/Spring Season,1,1
LCK 2024 Spring Playoffs,LoL Champions Korea,Korea,South Korea,2024,2024-03-30,2024-04-14,LCK/2024 Season/Spring Playoffs,1,1
LCK 2024 Summer,LoL Champions Korea,Korea,South Korea,2024,2024-06-12,2024-08-18,LCK/2024 Season/Summer Season,1,1
LCK 2024 Summer Playoffs,LoL Champions Korea,Korea,South Korea,2024,2024-08-23,2024-09-08,LCK/2024 Season/Summer Playoffs,1,1
